id;question;answers.a;answers.b;answers.c;answers.d;answers.e;correct_answers;nbr_correct_answers
230bac49b0fe863b772410bc8d01a025f63c3c999065480131d6334abd2efeff;Parmi les affirmations suivantes, une seule est fausse, indiquer laquelle: les particules alpha;Sont formées de noyaux d'hélium;Sont peu pénétrantes;Toute l'énergie qu'elles transportent est cédée au long d'un parcours de quelques centimètres dans l'air;Sont arrêtées par une feuille de papier;Sont peu ionisantes;e;1
0ca718ff033bb68503e41c4d30b4f7580cb3f220e000a2e2d8520803ffdb8b06;Parmi les bactéries suivantes, une seule ne peut généralement pas être responsable d'une méningite aiguë, laquelle?;Haemophilus influenzae;Streptococcus pneumoniae;Neisseria gonorrhoeae;Neisseria meningitidis;Mycobacterium tuberculosis;c;1
3e292fc26ab1844f7d3805a5cceba0534261fcd65446dc544b4f2f7e3459de01;Parmi les propositions suivantes, indiquer celle qui est exacte. Le crack est une forme:;D'héroine;De cannabis;De cocaïne;D'amphétamines;De LSD (Amide de l'acide lysergique);c;1
6c35039202449b2b89e7b8a79dd0d7ae1b73ad650988446f331d3a26e8ecff60;Parmi les propositions suivantes, une seule est exacte. Laquelle? La sérotonine est le (la) :;5-hydroxy tryptophane;5-hydroxy tryptamine;Dihydroxy phénylalanine;Dihydroxy tryptophane;5,6-dihydroxytryptamine;b;1
dd39598f83a51258dc16cd37c21496ed298cf66b7245f80217a5fa9891c509ac;Parmi les techniques voltampérométriques, on trouve:;La potentiométrie;La polarographie;La conductimétrie;l'ampérométrie;La coulométrie;b;1
b0168233163b045ee2e4e91ff5e22111de9ea6ee2857267f7439702a38b65d47;Concernant le misoprostol (CYTOTEC®), donner son mécanisme d'action:;Anti-histaminique H2;Activateur de la pompe à protons;Analogue des prostaglandines;Neutralisation de l'acidité gastrique;Stimulation de la synthèse des prostaglandines endogènes gastriques;c;1
d89fc164567830409c1568e9bae37e2f67530dc71a34c60caac3e29f453c8188;Quelle est la proposition qui ne s'applique pas à la norfloxacine ?;Elle agit au niveau des ADN-gyrases des bactéries;Elle est administrable par voie orale;Elle est utilisable pour le traitement des broncho-pneumopathies à bactérie sensible;Elle peut être active à l'égard des staphylocoques sensibles à la méticilline;Elle est essentiellement éliminée par voie urinaire;c;1
30a1da058f05c8444173a68ee7e66f83fb15e5057033408a4677d38be271aa4c;Parmi les propositions suivantes concernant la fluorimétrie, une seule proposition est fausse. Laquelle?;La longueur d'onde du maximum de fluorescence est plus élevée que la longueur d'onde du maximum d'absorption;Pour fluorescer, les molécules doivent absorber dans l'UV/visible;La fluorescence a pour origine l'existence d'électrons excités singulet;La fluorescence est un phénomène dont la durée est de l'ordre de la seconde;La fluorescence s'observe dans des molécules à squelette rigide;d;1
7c22bff86874a6ecfb75fa902073cf6eae0b70453ecdcc602689c59c851941c7;La sécrétion de progestérone pendant les 2e et 3e trimestres de la grossesse reflète l'état fonctionnel:;Du placenta;Du corps jaune;Du foie foetal;De la surrénale foetale;De l'ovaire maternel;a;1
cff867744a81442e594eb97cfe91a6a7f46e47adf4cc4ac5b29c92cf9f113463;"Parmi les propositions suivantes, une seule est exacte; laquelle? L'hormone thyroïdienne la plus active au niveau cellulaire est:";La triiodothyronine (T3);La tétraiodothyronine (T4);La 3,3',5'- triiodothyronine (rT3);La thyroglobuline;L'acide triiodothyroacétique;a;1
1062d0b54212d0c75617f2378faeb1973a107e0c4cee844fd51071a4268eed3a;Parmi les propositions suivantes concernant la qualité d'une séparation en HPLC entre deux constituants d'un mélange, laquelle est exacte? La qualité de la séparation est appréciée par:;Le facteur de réponse;La hauteur des pics;La largeur des pics;Le facteur de résolution;Le facteur de capacité;d;1
019b8a59e4a9cbbfc6f5d65fdaab90d8c5c9eda58a745fce0ea191f72962e3b1;Parmi ces cinq propositions, indiquer le mode habituel de contamination de l'homme dans la bilharziose urinaire:;Transmission vénérienne;Piqûre d'insecte hématophage;Ingestion de larves avec l'eau de boisson;Pénétration trans-cutanée;Morsure par un animal infecté;d;1
09654ace054117e7b7684b78b06b9defe8c04fd2def56b66e40bddddd56e185c;Parmi les propositions suivantes, indiquez la proposition exacte. Les moutardes à l'azote sont:;Des antimétabolites;Non toxiques sur les cellules hématopoïétiques;Des poisons du fuseau;Des alkylants;Des intercalants;d;1
4458bbd5b87abb675eb0e71fd294814a7502a6c834a7c8bbaa9e1f5cd2f436cd;En photométrie de flamme, la qualité de nébulisation est indépendante:;De la densité de la solution à analyser;De la température de la flamme;De la tension superficielle de la solution à analyser;De la vitesse des gaz (combustible et comburant);De la viscosité de la solution à analyser;b;1
eb3f2245d2eb5785b73b32aa753767d88ad116b39dcd9907591c93c360de6e5d;Parmi les propositions suivantes, une seule est fausse. Laquelle? la bromocriptine :;Est indiquée en endocrinologie;Est indiquée dans le traitement de la maladie de Parkinson;Induit des troubles digestifs en début de traitement;A des propriétés anticholinergiques;Est un agoniste dopaminergique;d;1
