id,question,answer,answers.a,answers.b,answers.c,answers.d,answers.e
68e964c7043620fb2f644f9b3dde0f789490394b6ce2f221e40684e3128289f9,"Parmi les propositions suivantes, quelle est celle qui représente(nt) un ou des facteur de risque d'une atteinte coronaire ?", Le tabagisme représente un ou des facteur de risque d'une atteinte coronaire. La concentration plasmatique élevée d'apolipoprotéine B un ou des facteur de risque d'une atteinte coronaire.L'hypertension un ou des facteur de risque d'une atteinte coronaire.Le taux plasmatique élevé de Lp(a) un ou des facteur de risque d'une atteinte coronaire.,Tabagisme,Concentration plasmatique élevée d'apolipoprotéine B,,Hypertension,Taux plasmatique élevé de Lp(a)
ee280f162b2f4ed5b22f3e9810f4facc0f13cac4e29414db3e6708f84edfd25a,"Si vous considérez la formule suivante d'une préparation destinée à l'application cutanée, laquelle(lesquelles) de ces affirmations est exacte : - principe actif 3 g - macrogol 400 30 g - macrogol 4000 35 g - macrogol 6000 25 g - eau purifiée qsp 100 g",- principe actif 3 g - macrogol 400 30 g - macrogol 4000 35 g - macrogol 6000 25 g - eau purifiée qsp 100 g cette préparation est une pommade. - principe actif 3 g - macrogol 400 30 g - macrogol 4000 35 g - macrogol 6000 25 g - eau purifiée qsp 100 g les macrogols sont des polymères hydrophiles. - principe actif 3 g - macrogol 400 30 g - macrogol 4000 35 g - macrogol 6000 25 g - eau purifiée qsp 100 g la quantité d'eau est de 7 g pour 100 g. - principe actif 3 g - macrogol 400 30 g - macrogol 4000 35 g - macrogol 6000 25 g - eau purifiée qsp 100 g cette préparation est une préparation semi-solide. - principe actif 3 g - macrogol 400 30 g - macrogol 4000 35 g - macrogol 6000 25 g - eau purifiée qsp 100 g cette préparation n'est pas occlusive.,Cette préparation est une pommade,Les macrogols sont des polymères hydrophiles,La quantité d'eau est de 7 g pour 100 g,Cette préparation est une préparation semi-solide,Cette préparation n'est pas occlusive
3453db9aeaac0318e04e45b2cfdea062716eaaccdd8ca550a51ab3149248e2b2,"En C.P.G., la dérivation :",", la dérivation peut permettre de rendre des produits thermostables. , la dérivation peut servir à diminuer la polarité des composés à forte polarité. , la dérivation peut rendre détectables des composés qui ne l'étaient pas. , la dérivation repose essentiellement sur des réactions de silylation.",Peut permettre de rendre des produits thermostables,Peut servir à diminuer la polarité des composés à forte polarité,,Peut rendre détectables des composés qui ne l'étaient pas,Repose essentiellement sur des réactions de silylation
c359a0f25f6d65ba012ecb452c2beace62cb10946600e55d57eb1fc18f559a5b,"En France, parmi les vaccinations suivantes, quelle est celle qui correspond(ent) à un vaccin vivant atténué disponible en France ? (actualisé 2008)",(actualisé 2008) vaccination anti-rubéolique.,,,,Vaccination anti-rubéolique,
658fe88fd1fe7f59f467868831ce7bc957cd41137fa326acc12f71081e12e22e,Dans quel cas peut-on parler d'hypertension artérielle selon les critères de l'OMS? Si la pression artérielle (P.A.) est de:,) est de p.A.= 140/90 mm Hg. ) est de p.A.= 145/100 mm Hg. ) est de p.A.= 170/90 mm Hg. ) est de p.A.= 165/95 mm Hg. ) est de p.A.= 155/90 mm Hg.,P.A.= 140/90 mm Hg,P.A.= 145/100 mm Hg,P.A.= 170/90 mm Hg,P.A.= 165/95 mm Hg,P.A.= 155/90 mm Hg
2e3d2b15a0c79cc1aceb0187f3784741ef30fc1e1f887817a3f2154722cfabac,Quelle est la dose létale 50 lors d'une irradiation externe chez l'homme ??,4 Gy est la dose létale 50 lors d'une irradiation externe chez l'homme.,,,4 Gy,,
0fb4b3616a35e8b2a37995239dd1a8e46cbea9da5083bf844cc008b2d4e7384f,Que se passe-t-il à la fin de la diastole générale? Cochez la réponse exacte?,À la fin de la diastole générale les oreillettes et les ventricules sont relâchés. À la fin de la diastole générale les valvules auriculo-ventriculaires sont ouvertes. À la fin de la diastole générale les ventricules reçoivent le sang provenant des oreillettes.,Les oreillettes et les ventricules sont relâchés,Les valvules auriculo-ventriculaires sont ouvertes,,,Les ventricules reçoivent le sang provenant des oreillettes
32d2a7cf0d02db7f888ba679bec670c77eeb3da1659383a254c4e35bc472b241,"Parmi les propositions suivantes concernant la séparation chromatographique d'acide L-glutamique (pH iso-électrique=3,22) et de L-leucine (pHi=5,96) sur une résine substituée par des groupements fonctionnels sulfonate.Quelle est la proposition exacte ?","A pH = 8, les 2 acides aminés ne sont pas retenus par la colonne. A pH = 2, les 2 acides aminés sont retenus par la colonne.",,"A pH = 8, les 2 acides aminés ne sont pas retenus par la colonne",,"A pH = 2, les 2 acides aminés sont retenus par la colonne",
ec167e67601dfcacfa833850bf5502c601a1a9751472f941289efdd1f0daa9e7,À propos de l’ ACTH,"À propos de l’ ACTH elle stimule le cortex surrénalien permettant la synthèse de stéroïdes. À propos de l’ ACTH elle à 13 acides aminés commun avec la MSH d’où une action croisée (stimulation des mélanocytes). À propos de l’ ACTH elle à une action lipotrope. À propos de l’ ACTH c’est une hormone corticotrope, dont la sécrétion est régulée positivement par la sécrétion de CRF hypothalamique.",,Elle stimule le cortex surrénalien permettant la synthèse de stéroïdes,Elle à 13 acides aminés commun avec la MSH d’où une action croisée (stimulation des mélanocytes),Elle à une action lipotrope,"C’est une hormone corticotrope, dont la sécrétion est régulée positivement par la sécrétion de CRF hypothalamique"
44e2bd6e6b04895259abdfa174c599983fe23df404583191d457e1c5423915dc,"A propos des alpha thalassémies, l'une ou plusieurs des propositions suivantes est exacte:",A propos des alpha thalassémies l'hémoglobine H est constituée de quatre chaînes bêta. A propos des alpha thalassémies les adultes ayant 3 gènes alpha délétés présentent une anémie hémolytique chronique.,,,,L'hémoglobine H est constituée de quatre chaînes bêta,Les adultes ayant 3 gènes alpha délétés présentent une anémie hémolytique chronique
9997446b4d8cc96c77460fecb51042d1a2f6d098c0e5d372124054f314d32cf1,"À propos des isotopes radioactifs, quelles sont les propositions exactes :","À propos des isotopes radioactifs, quelles sont les propositions exactes ils comportent tous le même nombre de protons. À propos des isotopes radioactifs, quelles sont les propositions exactes les isotopes radioactifs sont les isotopes instables. À propos des isotopes radioactifs, quelles sont les propositions exactes les désintégrations radioactives α aboutissent à la libération d’un atome d’Hélium.",Ils comportent tous le même nombre de protons,,Les isotopes radioactifs sont les isotopes instables,Les désintégrations radioactives α aboutissent à la libération d’un atome d’Hélium,
bd9a6efebb645e67f29110215f8a6050acf8c76e70519a54942648d3fa71325b,A quoi est associé l'atropine,A quoi est associé l'atropine mydriase. A quoi est associé l'atropine tachycardie. A quoi est associé l'atropine rétention urinaire. A quoi est associé l'atropine globe vésical.,Mydriase,,Tachycardie,Rétention urinaire,Globe vésical
29e3fd28f00e73f16886ada773864be9c01b11d6f1772c7690c455538c870672,"Parmi les méthodes suivantes, quelle est celle qui permet(tent) le dosage du calcium? ?",Absorption atomique est une méthode qui permet le dosage du calcium. Complexométrie est une méthode qui permet le dosage du calcium. Emission atomique est une méthode qui permet le dosage du calcium. Potentiométrie est une méthode qui permet le dosage du calcium.,Absorption atomique,Complexométrie,,Emission atomique,Potentiométrie
f097767bc2c54e22c5fb6ba33166a64f5824393af9a74d58c5f936ad1708f2b5,"Afin de mieux préciser le mécanisme d'une anémie, quel paramètre de l'hémogramme doit-on considérer :","Afin de mieux préciser le mécanisme d'une anémie, quel paramètre de l'hémogramme doit-on considérer la teneur corpusculaire moyenne en hémoglobine (T.C.M.H.). Afin de mieux préciser le mécanisme d'une anémie, quel paramètre de l'hémogramme doit-on considérer le volume globulaire moyen.",la teneur corpusculaire moyenne en hémoglobine (T.C.M.H.),,,,le volume globulaire moyen
4d675ae80c18104d9f8ca8160025a976e058a7a038eaf8a3175fe3abab72cae5,"Parmi les molécules suivantes, laquelle n'intervient pas dans le métabolisme de l'hémoglobine :",Alanine n'intervient pas dans le métabolisme de l'hémoglobine.,Alanine,,,,
