id,question,answer,answers.a,answers.b,answers.c,answers.d,answers.e
230bac49b0fe863b772410bc8d01a025f63c3c999065480131d6334abd2efeff,"Parmi les affirmations suivantes, une seule est fausse, indiquer laquelle: les particules alpha",L'affirmation suivante est fausse : les particules alpha sont peu ionisantes.,,,,,Sont peu ionisantes
0ca718ff033bb68503e41c4d30b4f7580cb3f220e000a2e2d8520803ffdb8b06,"Parmi les bactéries suivantes, une seule ne peut généralement pas être responsable d'une méningite aiguë, laquelle?",Neisseria gonorrhoeae est la seule bactérie qui  ne peut généralement pas être responsable d'une méningite aiguë.,Neisseria gonorrhoeae ,,Neisseria gonorrhoeae,,
3e292fc26ab1844f7d3805a5cceba0534261fcd65446dc544b4f2f7e3459de01,"Parmi les propositions suivantes, indiquer celle qui est exacte. Le crack est une forme:",Le crack est une forme de cocaïne.,,,De cocaïne,,
6c35039202449b2b89e7b8a79dd0d7ae1b73ad650988446f331d3a26e8ecff60,"Parmi les propositions suivantes, une seule est exacte. Laquelle? La sérotonine est le (la) :",La sérotonine est le (la) 5-hydroxy tryptamine.,,5-hydroxy tryptamine,,,
dd39598f83a51258dc16cd37c21496ed298cf66b7245f80217a5fa9891c509ac,"Parmi les techniques voltampérométriques, on trouve:","Parmi les techniques voltampérométriques, on trouve la polarographie.",,La polarographie,,,
b0168233163b045ee2e4e91ff5e22111de9ea6ee2857267f7439702a38b65d47,"Concernant le misoprostol (CYTOTEC®), donner son mécanisme d'action:","Concernant le misoprostol (CYTOTEC®), donner son mécanisme d'action analogue des prostaglandines.",,,Analogue des prostaglandines,,
d89fc164567830409c1568e9bae37e2f67530dc71a34c60caac3e29f453c8188,Quelle est la proposition qui ne s'applique pas à la norfloxacine ??,La proposition qui ne s'applique pas à la norfloxacine est : elle est utilisable pour le traitement des broncho-pneumopathies à bactérie sensible.,,,Elle est utilisable pour le traitement des broncho-pneumopathies à bactérie sensible ,,
30a1da058f05c8444173a68ee7e66f83fb15e5057033408a4677d38be271aa4c,"Parmi les propositions suivantes concernant la fluorimétrie, une seule proposition est fausse. ",Parmi les propositions suivantes concernant la fluorimétrie la  proposition est fausse. est : la fluorescence est un phénomène dont la durée est de l'ordre de la seconde.,,,,La fluorescence est un phénomène dont la durée est de l'ordre de la seconde,
7c22bff86874a6ecfb75fa902073cf6eae0b70453ecdcc602689c59c851941c7,La sécrétion de progestérone pendant les 2e et 3e trimestres de la grossesse reflète l'état fonctionnel:,La sécrétion de progestérone pendant les 2e et 3e trimestres de la grossesse reflète l'état fonctionnel du placenta.,Du placenta,,,,
cff867744a81442e594eb97cfe91a6a7f46e47adf4cc4ac5b29c92cf9f113463,"Parmi les propositions suivantes, une seule est exacte; laquelle? L'hormone thyroïdienne la plus active au niveau cellulaire est:",L'hormone thyroïdienne la plus active au niveau cellulaire est: la triiodothyronine (T3).,La triiodothyronine (T3),,,,
